Call_ID,Caller_ID,Receiver_ID,Duration,Call_Type,Date
2089,C223,C458,11,Roaming,2024-03-29
2090,C222,C437,52,Roaming,2024-04-21
2091,C261,C383,59,Local,2024-04-19
2092,C148,C414,54,Local,2024-01-07
2093,C254,C351,40,Local,2024-06-16
2094,C284,C499,39,Roaming,2024-02-08
2095,C126,C440,55,Local,2024-03-27
2096,C141,C303,43,Local,2024-03-13
2097,C105,C471,11,International,2024-01-03
2098,C285,C471,8,Roaming,2024-03-18
2099,C217,C389,54,International,2024-06-03
2100,C219,C442,9,Local,2024-03-24
2101,C152,C440,44,International,2024-02-18
2102,C254,C322,10,International,2024-05-19
2103,C114,C490,39,Roaming,2024-03-28
2104,C282,C492,5,Roaming,2024-01-16
2105,C231,C392,44,Local,2024-04-05
2106,C227,C469,5,Local,2024-05-20
2107,C270,C342,35,Roaming,2024-05-12
2108,C132,C454,54,Local,2024-01-14
2109,C212,C315,27,Roaming,2024-02-06
2110,C189,C447,45,Local,2024-05-16
2111,C204,C374,1,Local,2024-02-28
2112,C152,C373,15,International,2024-01-23
2113,C226,C337,43,Roaming,2024-02-24
2114,C150,C351,47,Roaming,2024-06-30
2115,C164,C324,19,Roaming,2024-02-25
2116,C179,C495,11,Local,2024-04-29
2117,C217,C315,21,Roaming,2024-01-26
2118,C261,C455,48,Local,2024-05-17
2119,C160,C369,18,International,2024-03-29
2120,C264,C477,32,Local,2024-06-29
2121,C268,C309,42,International,2024-01-01
2122,C292,C341,47,Local,2024-04-15
2123,C161,C484,45,Local,2024-05-01
2124,C218,C392,5,Local,2024-01-06
2125,C162,C371,25,Local,2024-03-11
2126,C169,C408,50,Roaming,2024-03-17
2127,C230,C474,37,International,2024-03-20
2128,C172,C321,5,International,2024-06-03
2129,C266,C346,3,International,2024-04-06
2130,C193,C330,8,International,2024-06-11
2131,C218,C349,3,Roaming,2024-05-30
2132,C121,C478,8,Roaming,2024-01-09
2133,C254,C386,28,Roaming,2024-01-26
2134,C123,C435,16,Local,2024-01-05
2135,C171,C340,45,Roaming,2024-03-31
2136,C267,C358,43,Local,2024-01-25
2137,C266,C340,24,Roaming,2024-01-22
2138,C218,C469,18,Roaming,2024-01-08
2139,C230,C456,2,Local,2024-01-01
2140,C296,C467,46,Local,2024-02-01
2141,C144,C381,16,International,2024-04-20
2142,C272,C404,22,Local,2024-03-13
2143,C221,C460,24,Roaming,2024-02-29
2144,C267,C310,36,International,2024-06-29
2145,C136,C370,6,Roaming,2024-04-06
2146,C291,C482,53,Local,2024-05-14
2147,C282,C466,48,International,2024-06-02
2148,C147,C476,22,Roaming,2024-02-21
2149,C167,C411,18,Local,2024-04-28
2150,C235,C499,17,Roaming,2024-04-27
2151,C112,C389,28,Local,2024-05-03
2152,C246,C340,32,Local,2024-01-11
2153,C297,C318,49,Local,2024-04-18
2154,C228,C304,13,International,2024-03-24
2155,C179,C468,8,Roaming,2024-04-04
2156,C247,C320,59,International,2024-05-09
2157,C266,C381,54,International,2024-05-25
2158,C188,C302,10,International,2024-06-20
2159,C207,C491,47,International,2024-03-14
2160,C193,C436,54,Roaming,2024-05-23
2161,C282,C400,9,Local,2024-02-20
2162,C209,C304,36,Local,2024-04-25
2163,C247,C420,1,Roaming,2024-01-16
2164,C155,C339,7,International,2024-02-10
2165,C254,C410,33,Roaming,2024-03-02
2166,C191,C483,32,Local,2024-06-04
2167,C249,C379,59,Roaming,2024-05-30
2168,C141,C494,45,Roaming,2024-04-01
2169,C263,C472,43,Local,2024-01-09
2170,C164,C479,24,International,2024-01-13
2171,C296,C385,1,International,2024-03-24
2172,C152,C370,35,International,2024-04-28
2173,C112,C407,9,International,2024-03-09
2174,C185,C455,44,Local,2024-02-27
2175,C219,C311,2,Roaming,2024-04-19
2176,C274,C445,48,Roaming,2024-04-23
2177,C115,C363,15,Roaming,2024-05-02
2178,C243,C470,45,International,2024-01-07
2179,C216,C350,28,International,2024-06-02
2180,C111,C421,33,Roaming,2024-06-26
2181,C113,C341,46,International,2024-05-25
2182,C273,C499,1,Local,2024-05-17
2183,C255,C315,4,Roaming,2024-01-18
2184,C127,C399,36,International,2024-03-08
2185,C262,C348,6,Local,2024-02-08
2186,C298,C459,52,Local,2024-03-14
2187,C247,C483,52,Local,2024-06-06
2188,C281,C433,57,Roaming,2024-03-22
2189,C204,C491,31,Local,2024-05-30
2190,C157,C399,19,Local,2024-04-11
2191,C261,C489,51,International,2024-03-04
2192,C160,C340,36,Local,2024-02-25
2193,C123,C356,39,Roaming,2024-05-12
2194,C123,C448,59,Local,2024-04-11
2195,C199,C430,15,International,2024-02-20
2196,C129,C331,21,Roaming,2024-03-06
2197,C199,C453,40,International,2024-03-25
2198,C138,C301,38,Local,2024-03-06
2199,C237,C306,45,International,2024-04-15
2200,C266,C470,2,Roaming,2024-06-09
2201,C179,C440,55,Roaming,2024-01-31
2202,C275,C359,21,Roaming,2024-02-23
2203,C183,C389,50,Roaming,2024-05-20
2204,C281,C312,53,Roaming,2024-01-12
2205,C173,C452,37,Local,2024-01-05
2206,C258,C396,22,Local,2024-06-30
2207,C152,C432,31,International,2024-03-27
2208,C150,C343,53,Roaming,2024-01-18
2209,C232,C461,51,Roaming,2024-05-07
2210,C149,C371,34,Roaming,2024-04-29
2211,C109,C338,52,International,2024-04-26
2212,C240,C487,24,Roaming,2024-02-04
2213,C226,C345,28,International,2024-04-03
2214,C295,C470,26,Local,2024-05-03
2215,C120,C425,51,Local,2024-04-03
2216,C298,C319,33,Local,2024-03-05
2217,C221,C488,35,International,2024-04-30
2218,C270,C458,17,International,2024-01-19
2219,C170,C319,35,Local,2024-03-01
2220,C260,C302,43,Roaming,2024-04-16
2221,C243,C499,6,International,2024-01-21
2222,C295,C374,60,Local,2024-04-24
2223,C265,C380,40,International,2024-06-02
2224,C209,C389,7,Local,2024-04-21
2225,C147,C312,38,Roaming,2024-05-07
2226,C269,C323,2,International,2024-05-01
2227,C259,C440,28,Local,2024-06-22
2228,C207,C321,15,Local,2024-01-01
2229,C199,C386,23,Local,2024-01-04
2230,C164,C464,44,International,2024-05-02
2231,C225,C323,39,Local,2024-05-20
2232,C287,C392,35,International,2024-02-15
2233,C112,C433,40,International,2024-05-13
2234,C236,C374,32,International,2024-01-23
2235,C274,C463,18,Roaming,2024-06-02
2236,C121,C465,9,International,2024-05-21
2237,C232,C307,42,Local,2024-03-06
2238,C205,C352,32,Local,2024-03-28
2239,C108,C449,53,International,2024-06-22
2240,C129,C333,12,International,2024-05-10
2241,C215,C375,41,International,2024-06-26
2242,C156,C345,1,Local,2024-02-17
2243,C292,C456,29,Local,2024-04-23
2244,C283,C497,53,Roaming,2024-06-23
2245,C175,C430,36,Roaming,2024-05-11
2246,C283,C325,29,Roaming,2024-06-28
2247,C121,C453,55,International,2024-02-19
2248,C265,C317,37,Local,2024-05-30
2249,C170,C468,49,Roaming,2024-06-10
2250,C124,C454,57,Roaming,2024-02-12
2251,C248,C341,43,International,2024-03-13
2252,C171,C384,8,Roaming,2024-06-09
2253,C288,C423,52,Local,2024-03-17
2254,C130,C469,49,Roaming,2024-01-07
2255,C178,C329,30,Roaming,2024-02-03
2256,C115,C382,14,Local,2024-06-14
2257,C165,C486,28,Roaming,2024-01-18
2258,C268,C408,15,Local,2024-03-04
2259,C252,C488,21,Local,2024-06-27
2260,C185,C394,12,International,2024-01-07
2261,C165,C308,21,Local,2024-02-07
2262,C103,C320,18,International,2024-02-28
2263,C137,C342,31,Local,2024-04-14
2264,C162,C398,19,Local,2024-03-04
2265,C267,C353,12,International,2024-03-16
2266,C255,C426,58,Local,2024-06-10
2267,C141,C336,41,Roaming,2024-06-03
2268,C288,C384,37,International,2024-05-13
2269,C129,C412,36,International,2024-01-06
2270,C230,C458,6,International,2024-03-10
2271,C218,C461,24,Local,2024-01-26
2272,C240,C370,21,Roaming,2024-04-26
2273,C186,C324,12,Roaming,2024-02-12
2274,C200,C380,52,Local,2024-01-14
2275,C168,C377,11,Roaming,2024-04-10
2276,C231,C376,40,Local,2024-03-17
2277,C270,C372,50,Roaming,2024-05-05
2278,C176,C379,44,Roaming,2024-05-17
2279,C294,C414,8,Roaming,2024-06-11
2280,C138,C369,1,Roaming,2024-06-12
2281,C203,C343,37,Roaming,2024-04-14
2282,C179,C443,29,Local,2024-06-20
2283,C208,C419,26,Roaming,2024-03-15
2284,C219,C399,3,Local,2024-01-16
2285,C205,C366,53,International,2024-01-09
2286,C134,C403,42,Local,2024-04-25
2287,C139,C424,11,International,2024-01-19
2288,C246,C463,37,Local,2024-05-23
2289,C292,C395,29,Roaming,2024-05-27
2290,C264,C440,13,Local,2024-05-17
2291,C207,C499,24,Roaming,2024-06-15
2292,C131,C476,44,Local,2024-02-03
2293,C280,C486,5,International,2024-01-24
2294,C293,C461,59,Roaming,2024-02-08
2295,C115,C355,2,International,2024-05-03
2296,C244,C393,53,Roaming,2024-04-24
2297,C169,C401,32,Roaming,2024-02-03
2298,C107,C458,7,Roaming,2024-02-29
2299,C121,C400,39,International,2024-05-24
2300,C210,C338,45,Roaming,2024-02-06
2301,C208,C493,41,International,2024-01-11
2302,C144,C484,27,Local,2024-03-03
2303,C180,C441,46,Roaming,2024-05-06
2304,C297,C479,42,Local,2024-03-31
2305,C137,C449,32,Local,2024-06-13
2306,C199,C392,25,Local,2024-05-15
2307,C200,C343,25,Local,2024-03-15
2308,C118,C323,4,International,2024-02-19
2309,C259,C313,32,Roaming,2024-01-10
2310,C118,C440,48,International,2024-02-08
2311,C269,C408,51,Local,2024-01-18
2312,C239,C450,49,Local,2024-03-02
2313,C224,C344,38,Local,2024-03-28
2314,C247,C482,58,Roaming,2024-03-16
2315,C278,C481,44,Local,2024-01-22
2316,C262,C471,25,Roaming,2024-02-07
2317,C276,C383,55,Roaming,2024-06-17
2318,C231,C329,31,Local,2024-02-22
2319,C110,C454,37,Roaming,2024-02-28
2320,C163,C305,42,International,2024-03-05
2321,C193,C444,34,International,2024-02-08
2322,C130,C321,45,Local,2024-01-31
2323,C163,C308,16,International,2024-05-13
2324,C249,C495,38,International,2024-05-14
2325,C142,C469,15,International,2024-02-03
2326,C113,C361,33,International,2024-01-16
2327,C273,C357,6,Roaming,2024-02-25
2328,C267,C338,35,International,2024-02-27
2329,C272,C389,55,Local,2024-02-17
2330,C281,C356,23,International,2024-02-14
2331,C251,C449,31,Local,2024-06-19
2332,C189,C312,58,International,2024-03-01
2333,C278,C466,32,International,2024-05-23
2334,C175,C438,26,International,2024-03-04
2335,C277,C335,24,International,2024-01-27
2336,C207,C323,8,International,2024-03-27
2337,C217,C483,43,Local,2024-01-21
2338,C256,C324,54,International,2024-02-18
2339,C263,C311,29,Roaming,2024-01-31
2340,C248,C322,5,International,2024-06-27
2341,C167,C419,13,Local,2024-05-26
2342,C167,C484,18,Roaming,2024-04-13
2343,C181,C448,8,Local,2024-06-01
2344,C110,C396,2,Roaming,2024-04-12
2345,C277,C393,26,Roaming,2024-05-10
2346,C116,C375,31,International,2024-02-19
2347,C149,C448,56,Local,2024-05-30
2348,C195,C362,9,Roaming,2024-02-29
2349,C200,C307,29,International,2024-05-14
2350,C151,C335,16,International,2024-06-07
2351,C226,C442,49,Local,2024-06-14
2352,C210,C373,6,Roaming,2024-01-15
2353,C244,C448,15,Roaming,2024-01-18
2354,C269,C343,46,Roaming,2024-04-24
2355,C274,C393,8,Roaming,2024-01-13
2356,C175,C468,32,Local,2024-03-02
2357,C175,C381,52,International,2024-06-04
2358,C154,C469,7,International,2024-01-30
2359,C223,C422,45,Local,2024-02-15
2360,C232,C474,10,International,2024-04-19
2361,C267,C378,37,Roaming,2024-04-25
2362,C137,C446,4,International,2024-06-14
2363,C262,C425,20,International,2024-05-22
2364,C231,C468,20,Local,2024-06-16
2365,C242,C429,35,International,2024-04-04
2366,C267,C396,18,International,2024-02-01
2367,C227,C343,24,International,2024-03-28
2368,C274,C475,31,Roaming,2024-04-12
2369,C215,C319,48,Roaming,2024-05-17
2370,C155,C310,39,Local,2024-03-19
2371,C216,C409,51,International,2024-04-10
2372,C132,C439,30,Roaming,2024-04-01
2373,C290,C384,49,Local,2024-02-08
2374,C290,C322,5,International,2024-05-05
2375,C145,C383,37,Roaming,2024-01-17
2376,C110,C361,39,Roaming,2024-03-02
2377,C280,C437,49,Local,2024-04-22
2378,C170,C317,16,Roaming,2024-04-07
2379,C185,C478,41,Roaming,2024-06-28
2380,C104,C467,5,Roaming,2024-01-27
2381,C266,C383,48,Roaming,2024-03-05
2382,C171,C478,36,Roaming,2024-06-18
2383,C118,C317,23,Roaming,2024-01-31
2384,C104,C308,10,Local,2024-02-11
2385,C268,C445,33,International,2024-02-26
2386,C245,C419,55,Roaming,2024-03-24
2387,C160,C378,55,Roaming,2024-04-14
2388,C174,C317,25,Local,2024-05-10
2389,C127,C469,50,International,2024-03-25
2390,C121,C433,39,International,2024-01-24
2391,C125,C366,22,Roaming,2024-06-08
2392,C195,C310,26,International,2024-03-14
2393,C255,C346,4,Roaming,2024-03-15
2394,C287,C380,14,International,2024-04-15
2395,C124,C404,32,Local,2024-02-09
2396,C127,C479,4,Roaming,2024-05-13
2397,C158,C399,45,International,2024-04-01
2398,C228,C374,33,Roaming,2024-03-25
2399,C263,C471,38,Roaming,2024-03-28
2400,C183,C447,46,International,2024-04-19
2401,C204,C306,4,Roaming,2024-04-06
2402,C219,C327,6,Roaming,2024-02-19
2403,C227,C359,48,Roaming,2024-03-24
2404,C267,C388,37,Local,2024-04-21
2405,C280,C398,2,International,2024-02-05
2406,C166,C319,44,Local,2024-05-25
2407,C280,C398,47,International,2024-01-20
2408,C177,C394,6,International,2024-06-04
2409,C243,C370,53,Local,2024-02-01
2410,C215,C376,57,International,2024-05-25
2411,C294,C361,34,Roaming,2024-03-25
2412,C143,C406,60,Roaming,2024-02-26
2413,C193,C329,9,Roaming,2024-03-07
2414,C120,C420,37,International,2024-03-11
2415,C159,C483,26,Roaming,2024-06-06
2416,C276,C476,32,Local,2024-02-16
2417,C170,C398,52,Local,2024-02-26
2418,C255,C452,1,Local,2024-02-12
2419,C158,C388,50,International,2024-05-04
2420,C215,C481,47,Roaming,2024-01-22
2421,C257,C468,9,Roaming,2024-02-10
2422,C242,C305,44,Roaming,2024-05-27
2423,C243,C324,17,International,2024-01-18
2424,C109,C489,23,International,2024-05-16
2425,C258,C426,20,Local,2024-01-11
2426,C275,C429,28,International,2024-04-07
2427,C115,C324,25,Roaming,2024-02-29
2428,C245,C388,22,Roaming,2024-01-23
2429,C171,C453,45,Roaming,2024-05-28
2430,C179,C445,39,Roaming,2024-06-03
2431,C106,C312,58,Roaming,2024-03-14
2432,C179,C466,28,International,2024-05-30
2433,C240,C382,30,Local,2024-01-19
2434,C193,C480,59,International,2024-01-26
2435,C147,C387,10,International,2024-04-03
2436,C179,C325,16,Local,2024-04-24
2437,C209,C391,60,Local,2024-06-14
2438,C163,C442,44,Local,2024-05-15
2439,C279,C329,35,Local,2024-05-24
2440,C259,C409,22,International,2024-05-24
2441,C142,C331,51,Local,2024-02-09
2442,C199,C473,14,Local,2024-05-09
2443,C105,C372,54,International,2024-01-24
2444,C204,C373,43,International,2024-03-04
2445,C250,C481,3,Roaming,2024-02-20
2446,C178,C446,33,Local,2024-01-22
2447,C102,C488,15,Roaming,2024-03-13
2448,C284,C351,7,Roaming,2024-04-21
2449,C131,C482,20,Local,2024-05-22
2450,C269,C452,11,International,2024-01-22
2451,C197,C420,47,Roaming,2024-01-18
2452,C245,C487,22,Roaming,2024-05-24
2453,C267,C342,12,Roaming,2024-05-15
2454,C149,C440,13,Roaming,2024-04-06
2455,C255,C500,32,Roaming,2024-04-01
2456,C218,C346,5,Local,2024-05-27
2457,C300,C351,13,Roaming,2024-05-22
2458,C224,C421,4,Roaming,2024-06-12
2459,C205,C457,17,Local,2024-04-10
2460,C165,C460,23,International,2024-02-11
2461,C262,C404,58,International,2024-05-20
2462,C281,C396,33,Roaming,2024-05-19
2463,C262,C326,21,International,2024-03-01
2464,C219,C401,11,International,2024-04-19
2465,C210,C312,52,Roaming,2024-04-02
2466,C107,C379,3,Local,2024-05-12
2467,C105,C429,37,International,2024-03-29
2468,C159,C436,33,Roaming,2024-06-04
2469,C258,C324,34,International,2024-05-13
2470,C194,C424,44,Local,2024-02-07
2471,C220,C383,11,Local,2024-05-16
2472,C261,C345,25,International,2024-03-16
2473,C218,C457,58,Roaming,2024-01-01
2474,C296,C403,52,Roaming,2024-05-01
2475,C204,C342,12,Roaming,2024-05-23
2476,C128,C367,30,Local,2024-02-07
2477,C263,C432,54,Local,2024-04-07
2478,C296,C439,38,Local,2024-05-27
2479,C206,C482,20,Local,2024-02-02
2480,C231,C309,20,International,2024-01-10
2481,C290,C350,27,Local,2024-01-26
2482,C199,C349,28,International,2024-04-14
2483,C215,C467,30,International,2024-06-29
2484,C108,C312,53,Local,2024-02-08
2485,C264,C490,9,International,2024-06-20
2486,C126,C491,33,Roaming,2024-01-30
2487,C199,C342,11,International,2024-05-04
2488,C221,C367,30,International,2024-06-05
2489,C144,C368,37,Roaming,2024-02-06
2490,C211,C387,26,International,2024-02-04
2491,C198,C362,5,Local,2024-06-23
2492,C132,C384,35,Local,2024-05-27
2493,C295,C377,31,International,2024-06-27
2494,C146,C394,24,International,2024-02-28
2495,C138,C400,35,Roaming,2024-01-30
2496,C279,C447,54,International,2024-01-28
2497,C293,C338,6,International,2024-02-28
2498,C222,C370,21,International,2024-01-23
2499,C202,C423,25,Local,2024-02-05
2500,C107,C462,1,Roaming,2024-04-10
